tahun,startdate,enddate,akresi,abrasi
2013,Jan_Jun,Jul_Des,10.62,5.67
2014,Jan_Jun,Jul_Des,42.84,3.96
2015,Jan_Jun,Jul_Des,288.81,7.29
2016,Jan_Jun,Jul_Des,33.12,65.07
2017,Jan_Jun,Jul_Des,0.36,87.84
2018,Jan_Jun,Jul_Des,28.71,12.06
2019,Jan_Mar,Apr_Jun,0.0,0.0
2019,Apr_Jun,Jul_Sep,1.08,140.49
2019,Jul_Sep,Okt_Des,9.72,11.79
2020,Jan_Mar,Apr_Jun,0.0,0.0
2020,Apr_Jun,Jul_Sep,55.08,3.42
2020,Jul_Sep,Okt_Des,0.0,0.0
2021,Jan_Mar,Apr_Jun,0.0,0.0
2021,Apr_Jun,Jul_Sep,26.55,1.98
2021,Jul_Sep,Okt_Des,0.0,0.0
2022,Jan_Mar,Apr_Jun,0,0
2022,Apr_Jun,Jul_Sep,0,0
2022,Jul_Sep,Okt_Des,0,0
2023,Jan_Mar,Apr_Jun,0.0,0.0
2023,Apr_Jun,Jul_Sep,3.06,18.27
2023,Jul_Sep,Okt_Des,84.24,1.35
2024,Jan_Mar,Apr_Jun,10.17,13.5
2024,Apr_Jun,Jul_Sep,32.22,5.22
2024,Jul_Sep,Okt_Des,27.9,3.15
